0,细菌和真核生物都具鞭毛，二者结构不同，运动方式也不同。以下对细菌鞭毛描述不正确的是：,不存在 9+2 的微管形式,可以做 360°旋转运动,由基体、钩型鞘和鞭毛丝构成,微管对之间利用由动力蛋白组成的“手臂”交互前后移动,,D,C
1,下列哪种信号分子不与细胞表面受体结合,神经递质,甾类激素,多肽类激素,生长因子,,B,B
2,染色质纤维上非组蛋白主要功能是：,组装核小体,调控基因表达,组成异染色质的主要成分,协助 DNA 卷曲成染色体,,BD,B
3,下面哪种细胞器是单层膜结构,液泡,细胞核,线粒体,叶绿体,,A,A
4,与花生和小鼠的细胞分裂直接相关的细胞结构是,中心体,纺锤体,内质网,线粒体,,B,ABD
5,下列选项中存在同源染色体配对现象的是,有丝分裂前期,果蝇唾腺染色体,减数分裂 I 前期,减数分裂 II,,BC,C
6,下面关于大肠杆菌和酵母的描述，正确的是,都有细胞核,都有细胞壁,DNA 都不与蛋白质结合,都有环状 DNA,,BD,B
7,BFA（Brefeldin A）是一种常用的蛋白转运抑制剂，能够抑制蛋白从内质网向高尔基体转运，请问当用这种药物处理细胞时，细胞内还有哪些结构会在短期内发生变化？,溶酶体，膜泡，质膜,溶酶体，过氧化物酶体，质膜,膜泡，线粒体，质膜,溶酶体，膜泡，叶绿体,细胞内所有的细胞器和膜结构,A,A. 溶酶体，膜泡，质膜
9,非竞争性抑制剂与竞争性抑制剂的一个共同点是：,抑制剂和底物结合酶的相同部位,两者的 K 值越小造成的抑制作用越大,增大底物浓度可解除两者对酶活性的抑制,两者都造成表观 Km 值的增加,,B,D
10,以下维生素中属于水溶性维生素的是：,维生素 D,维生素 C,维生素 K,维生素 B12,,BD,B
12,根据实验结果，请判断实验Ⅱ、Ⅲ、Ⅳ组与对照组相比差别最显著的是,Ⅱ,Ⅲ,Ⅳ,以上都是,,C,C
14,三羧酸循环中草酰乙酸的最主要来源是：,丙酮酸羧化,丙酮酸氧化脱羧,苹果酸酶催化产物,谷氨酰胺脱氨基,,A,A
15,真核生物经转录作用生成的 mRNA 是：,单顺反子,多顺反子,内含子,插入序列,,A,A
16,rRNA,与多种蛋白质形成核蛋白体,属细胞内含量最少的一种 RNA,是蛋白质生物合成的场所,不含有修饰碱基,,A,A
19,下列哪种蛋白质以翻译后运转机制转运,免疫球蛋白,激素,过氧化物酶体,水解酶,,C,C
20,DNA 形成一个右手螺旋，请从右图中找出右手螺旋,左图是右手螺旋,中图是右手螺旋,右图是右手螺旋,以上没有右手螺旋,,A,C
21,由于各种微生物中的固氮酶遇氧均会失活，固氮微生物都是,专性厌氧菌,好氧菌,兼性厌氧菌,以上答案都不对,,D,A
22,不能合成组氨酸的酵母营养缺陷型可以在下列哪些条件下生长？,基本培养基,完全培养基,基本培养基+组氨酸,转入了编码组氨酸合成相关基因的质粒,,BCD,B
23,大肠杆菌是一种兼性厌氧的肠道细菌，请指出在大肠杆菌中不存在下列的哪一种成分。,N-乙酰胞壁酸,肽聚糖,脂多糖,磷壁酸,,D,D
24,通常将单倍体细胞中的全套染色体称为基因组（Genome），其大小可以用对应的 DNA 碱基对总数描述，下列物种中，基因组最小的是：,人（Homo sapiens）,拟南芥（Arabidopsis thaliana）,小麦（Triticum aestivum）,水稻（Oryza sativa）,,B,B. 拟南芥（Arabidopsis thaliana）
25,在特定条件下细胞内所有转录产物的集合称为转录组（Transcriptome），以下关于转录组的描述中正确的是：,"转录组中包含信使 RNA（Messenger RNA, mRNA）",一个基因组仅对应一个转录组,不同组织细胞的转录组不同,同一个细胞的转录组一定相同,,AC,AC
26,某动物的皮肤由多层细胞的表皮和真皮构成，表皮内有大量单细胞粘液腺，皮肤与肌肉紧密连接，皮下组织极少。下列动物中最符合以上描述的是：,文昌鱼,鲑鱼,对虾,珠颈斑鸠,,B,B
27,牙齿是动物身体中最坚硬的部分，易于在地层中保存成化石，是研究动物食性的重要依据。现某地出土了一批某种动物的牙齿化石，其特征为：犬齿不发达或缺失；臼齿齿冠较高，齿尖延成半月型。推测此物种的食性最有可能为,食虫型,食肉型,食草型,杂食型,,C,C
