0,细胞分化发生在细胞周期哪一阶段：,细胞分裂前期,细胞分裂间期,细胞分裂中期,细胞分裂末期,,B,B
1,下面不属于细胞骨架的是：,微丝,微管,中间纤维,内质网,,D,D
2,下列哪种细胞最适合用来研究溶酶体：,肌肉细胞,神经细胞,具有吞噬作用的白细胞,细菌细胞,,C,C
3,ICM（内细胞团）属于：,人工诱导干细胞,胚胎干细胞,多能干细胞,化学诱导干细胞,,B,B
5,下列有关受体的描述中，不正确的是：,一般为糖蛋白,与配体的结合具有特异性和亲和性,通过共价键与配体结合,具有饱和效应,,C,C
6,如果一种质膜糖蛋白是通过膜泡分泌途径来自于高尔基复合体，该蛋白寡糖链和 N 端都面向高尔基体腔内，那么质膜上，该糖蛋白的寡糖链和 N 端面向：,胞外面,胞质面,寡糖链在胞外面，N 端在胞质面,寡糖链在胞质面，N 端在胞外面,,A,B
7,以下哪项描述与马达蛋白的功能不相关：,鞭毛和纤毛的运动,肌肉收缩,蛋白质的折叠,有丝分裂中染色体的移动,,C,C
9,以下几种不同碱基组成比例的 DNA 分子，哪一种 DNA 分子的 Tm 值最高：,A + T = 15%,G + C = 25%,G + C= 40%,A + T = 80%,G + C = 35%,A,A
10,蛋白质组学是：,研究一个基因组所表达的全套蛋白质,研究蛋白质序列以发现新的蛋白质,研究 DNA 与蛋白质的复合物,研究蛋白质合成过程中的能量消耗,,A,A
11,大肠杆菌 DNA 复制过程中，下列哪种酶不参加该生物学过程：,DNA 聚合酶,RNA 聚合酶,DNA 连接酶,RNA 酶,端粒酶,E,E
12,在亲和层析中，如果使用链霉亲和素制备亲和吸附剂，则目标蛋白质需要具有：,多聚 His 标签,HA 标签,生物素标签,泛素标签,,C,C
13,Sanger 终止法测序中，用于使 DNA 合成反应终止的是：,dNDP,ddNDP,dNTP,ddNTP,,D,D
14,蛋白质泛素化修饰是一种重要的蛋白质翻译后修饰调控方式，以下关于蛋白质泛素化修饰的说法，错误的是：,蛋白质上特定的 Lys 侧链与泛素之间形成共价连接,蛋白质泛素化修饰是不可逆的,蛋白质泛素化修饰可调节蛋白质的降解,泛素是一种低分子量的蛋白质,,B,B
