0,在传统的 TRIzol 法提取 RNA 中使用了苯酚和氯仿，以下说法正确的是（多选）（ ）,苯酚可以裂解细胞,氯仿可以用于抽提样品中残存的苯酚,氯仿可以使 DNA 变性,氯仿可以用于抽提样品中的一些脂溶性杂质,,ABD,AD
1,绿色荧光蛋白 GFP 外周围成圆柱状的栅栏的是蛋白质的一种二级结构（如图）。关于这种二级结构及结构中常见的氨基酸，下列组合正确的有（多选）（ ）,α-螺旋；Phe,α-螺旋；Gly,β-折叠；Phe,β-折叠；Tyr,,CD,AC
2,从含有 N 端 6*His 标签的 GFP 蛋白的大肠杆菌裂解液中纯化 GFP 的层析方法首选（ ）,疏水相互作用层析,离子交换层析,固定化金属离子亲和层析,凝胶过滤层析,,C,C
3,想要分离纯化一种等电点是 4.0 的目的蛋白，当在 pH 为 7.0 的溶液还含有等电点分别为 6.0、7.5、8.5 的 3 种杂蛋白时，纯化目的蛋白应优先选用的层析方法是（ ）,阴离子交换色谱法,阳离子交换色谱法,凝胶过滤层析,疏水相互作用层析,,A,B
4,在正常细胞中过度增强脂肪酸氧化则抑制葡萄糖的氧化代谢，能够解释该机制的说法有（多选）（ ）,脂肪酸氧化产生乙酰-CoA，后者通过变构激活丙酮酸脱氢酶复合物（PDHc）激酶，来磷酸化 PDHc，从而抑制 PDHc 活性,脂肪酸氧化产生的乙酰-CoA 不能全部进入 TCA 循环彻底氧化，多余的乙酰-CoA 转化为柠檬酸，被运至胞浆中,柠檬酸变构抑制糖酵解途径中关键酶的活性,脂肪酸氧化产生的乙酰-CoA 通过激活 PEP 羧激酶的活性，从而减少 PEP 的生成,,ABC,AC
5,肿瘤细胞与正常细胞的代谢存在很大差异，肿瘤细胞在有氧条件下通过糖酵解消耗大量葡萄糖。研究人员发现肿瘤抑制因子 p53 与葡萄糖-6-磷酸脱氢酶结合并抑制其活性。以下解释错误的是（ ）,在正常细胞中，葡萄糖通过糖酵解途径和三羧酸循环为细胞生长提供能量,在 p53 发生突变或缺失的肿瘤细胞中，受 p53 抑制的糖代谢途径被激活，大量葡萄糖被消耗,葡萄糖-6-磷酸脱氢酶是糖酵解途径中的一个酶,肿瘤抑制因子 p53 在代谢平衡调控中发挥作用,,C,C
6,研究者用一个 mRNA 分子与包含相应基因的基因组 DNA 杂交，在电子显微镜下观察到如图所示的分子杂交结果。根据实验结果推断，问号箭头所指的那段 DNA 最有可能属于（ ）,复制子,启动子,外显子,内含子,,D,C
8,体外培养心肌细胞，用显微注射法将某种极性的小分子荧光染料注入其中一个细胞，之后立即观察，发现这个细胞及周围细胞均呈现荧光。你认为最可能的原因是（ ）,细胞膜的流动性导致荧光染料扩散到其它细胞,荧光染料通过胞吐胞吞作用进入其它细胞,荧光染料经细胞间的通讯连接进入其它细胞,荧光染料经胞间连丝进入其它细胞,,C,A
9,用紫外线（UVB）照射以及细胞因子 IL-1α处理细胞，研究 DNA 损伤的情况，未处理的细胞作为对照。处理 1 小时和 3 小时后检测 DNA 损伤程度，实验结果如图所示。由结果下列叙述错误的是（ ）,UVB 能够增加 DNA 损伤的发生,IL-1α能够增加 DNA 损伤的发生,IL-1α不影响 DNA 损伤的发生,UV 处理后随着时间延长，DNA 损伤的程度会逐渐变低,,B,C
10,液泡中 pH 的不同会使植物表现出不同的花色。较高的液泡 pH 花瓣会呈现蓝色，而较低的 pH 花瓣会呈现红色。植物液泡的 pH 由 X 和 Y 两组基因控制，X 促进 H+ 转运进入液泡，而 Y 导致 H+运出液泡。能得到蓝色花植物遗传操作有（多选）（ ）,降低植物中 X 基因表达,向植物中转入 Y 基因,降低植物中 Y 基因表达,向植物中转入 X 基因,,AB,AXCYBYDX
11,在 37℃下，Scc1ts 和 Eco1ts的突变体的复制都开始于 1.5 小时，那么可以得出的结论有（多选）（ ）,Scc1 对于复制是必需的，而 Eco1 对于复制不是必需的,Eco1 对于复制是必需的，而 Scc1 对于复制不是必需的,Scc1 和 Ecol 对于复制都是必需的,Scc1ts 和 Eco1ts 突变体在 37℃下可以生长，但进入 S 期则存活力显著下降,,CD,D
12,在 25℃下，S 期在 2 小时时间点结束，那么 Scc1 和 Eco1 对细胞生存力的影响是（多选） （ ）,S 期结束以后，Scc1 是必需的，Eco1 不是,S 期结束以后，Eco1 是必需的，Scc1 不是,S 期结束以后，Eco1 和 Scc1 都是必需的,Eco1ts突变体在完成 S 期后从 25℃转移至 37℃以后仍然可以生长并增殖,,AD,C
13,根据实验结果，对 Scc1 功能可以得出的合理推测有（多选）（ ）,Scc1 必须有功能，以便在 S 期形成粘连蛋白复合体,Scc1 只对细胞的 S 期是必需的,Scc1 对于细胞的 S 期、G2 期直到细胞分裂是必需的,由于 Scc1 是粘连蛋白复合体的组分，因此，无功能的 Scc1 将导致姊妹染色单体之间不能粘连,,ACD,AD
14,根据实验结果，对 Eco1 功能可以得出的合理推测有（多选）（ ）,Eco1 的作用与 Scc1 不同,Eco1 在 S 期是必需的，但 S 期结束后则不是必需的,Eco1 可能通过某种途径协助建立粘连蛋白复合体,Eco1 直接参与 DNA 复制,,ABC,ABC
15,病毒是非细胞形态的生命体，下面的说法正确的是（ ）,病毒很小，必须用高倍的光学显微镜才能看清楚它的结构,在自然条件下，病毒的复制只能在活细胞内进行,病毒粒子包裹的遗传物质，或为 DNA，或为 RNA，如冠状病毒的遗传物质是 DNA,在电子显微镜下可见冠状病毒的衣壳蛋白向外侧延伸形成日冕状结构，冠状病毒因此得名,,B,B
