0,很多细胞器上具有质子泵，以下不具有质子泵的细胞器为：,内质网,溶酶体,线粒体,叶绿体,,A,A. 内质网
1,细胞的信号转导，涉及信号分子、受体、转导蛋白和效应分子等复杂体系，下列受体中，属于多次跨膜的蛋白质的是：,肾上腺皮质激素受体,G蛋白耦联受体,维甲酸（视黄酸，RA）受体,胰岛素样受体,,B,答案是：B. G蛋白耦联受体
2,真核细胞中，与糖蛋白合成和加工有关的细胞器有哪些？,内质网,过氧化物酶体,高尔基体,溶酶体,,A C,A. 内质网C. 高尔基体
3,下列有关植物细胞的细胞周期说法中，错误的是：,植物细胞周期包含G1，S，G2，M期四个时期,植物细胞不含中心体，但仍可以正常装配纺锤体,植物细胞以中部缢缩的形式进行胞质分裂,植物细胞中染色体分离发生于后期,,C,答案是：E
4,蛋白质合成后，需要进行复杂的分选，以下描述正确的是：,分选都是由高尔基体开始的,分选信号是蛋白质中的特定序列,分选信号只蕴藏在蛋白质高级结构中,参加分选的蛋白质只能依靠膜泡在细胞质内运输,,B,B. 分选信号是蛋白质中的特定序列
5,以下关于氧化磷酸化理解正确的是：,不需要O2参与,与线粒体功能有关,与质子梯度的建立有关,需要AMP,,BC,B. 与线粒体功能有关
6,真核生物中细胞核是重要的细胞器，没有细胞核的细胞会：,迅速死亡,长期存活并具有一定的功能,在较短的时期内存活并具有一定的功能,长期存活，但无任何功能,,C,A. 迅速死亡
7,下列分子中不容易以自由扩散的方式透过脂双层膜的是：,二氧化碳,乙醇,尿素,葡萄糖,,D,D. 葡萄糖
10,反刍动物瘤胃内的微生物能降解植物饲料为小分子物质并经厌氧发酵后产生一种气体，它还能造成温室效应，这种气体是哪一项：,空气,氧气,CO2,甲烷,,D,D. 甲烷
11,双缩脲反应主要用来定性或定量测定下列哪些物质？,氨基酸,多肽,糖,脂,蛋白质,B E,E. 蛋白质
12,在 C4 植物中，叶肉细胞内合成的四碳化合物用于：,还原NADP+,合成ATP,与 CO2 结合产生葡萄糖,转移 CO2 到鞘细胞内,,D,D. 转移 CO2 到鞘细胞内
