0,SARS-CoV-2 的 S 蛋白与 ACE2 酶具有很高的亲和性，以下能准确测定两者之间结合常数的技术是：,表面等离子共振,酵母双杂交,染色质免疫共沉淀,蛋白质免疫共沉淀,,A,A
1,以下可用于检测某人是否被 SARS-CoV-2 感染的方法有：（多选）,实时荧光定量 PCR,基于 IgM 的 ELISA 法,基于 IgE 的 ELISA 法,基于 IgG 的 ELISA 法,,ABD,APCRBIMELISADIGELISA
2,关于 RNA 酶，以下描述正确的是：,离体之后容易失活,二硫键影响其热稳定性,热稳定性主要受肽键影响,巴氏消毒法能使其失活,,B,ABD
3,以下有关 PCR 反应的叙述正确的是：（多选）,PCR 反应必须使用耐高温的 DNA 聚合酶,PCR 反应必须添加引物,PCR 反应必须添加模板,PCR 反应必须添加 4 种 dNTPs,PCR 反应必须添加锰离子,BCD,APCRDNABPCRCPCRDPCRNTPEPCR
4,关于绿色荧光蛋白 GFP 的说法正确的是：,野生型 GFP 的发色团是位于 65、66、67 位的 Thr/Tyr/Gly,钱永健的突出贡献是克隆得到了 GFP 的 cDNA，并用基因点突变对 GFP 进行了改造,可用 GFP 的荧光共振能量转移在活细胞水平研究蛋白质的相互作用,GFP 常用于染色质免疫沉淀实验，研究细胞内蛋白质-蛋白质的相互作用,,C,ABC
6,如图是葡萄糖旁路代谢产物 5-磷酸木酮糖对 ChREBP 的调节示意图，图中问号处最可能是什么：,蛋白磷酸酶 2A,己糖激酶,葡萄糖-6-磷酸脱氢酶,AMPK 蛋白激酶,,A,AA
7,通过 PCR 技术检测新型冠状病毒(SARS-CoV-2)的关键是设计合适的引物。关于引物对的设计，以下最佳的选择是：,选择病毒基因组中与其它类型冠状病毒之间最保守的核酸区域,选择病毒基因组中编码冠状病毒变异性大的蛋白的核酸区域,选择病毒基因组中不同毒株之间最保守而种间不保守的核酸区域设计引物对,选择所编码蛋白的氨基酸序列与其它类型冠状病毒相应蛋白最保守的区域,,C,C
8,研究者为了研究小鼠在饥饿时的燃料选择，测定了不同饥饿时间后小鼠血浆中的脂肪酸、葡萄糖和酮体水平，并得到如图结果。依据此图，下面列描述最为合理的是：,饥饿时，酮体和脂肪酸水平升高，葡萄糖水平降低,饥饿刚开始时，小鼠优先选择以葡萄糖和酮体为燃料,随着饥饿时间的延长，小鼠优先选择以脂肪酸和葡萄糖为燃料,随着饥饿时间的延长，小鼠逐渐仅以酮体为燃料,,A,A
9,下图为研究者研究化合物 X 和 Y 对某种酶的活性影响所获得的实验结果，[S]为底物浓度。V 是酶促反应速率。依据此图分析下列描述正确的是：,化合物 X 是该酶的竞争性抑制剂,化合物 Y 是该酶的竞争性抑制剂,化合物 X 是该酶的反竞争性抑制剂,化合物 Y 是该酶的非竞争性抑制剂,,B,AX
10,人类细胞在分裂间期时，染色体呈松散状态，特定基因进行转录。染色体在细胞核内的位置由其大小和转录状态决定，核纤层和核仁附近染色体上的基因表达通常被抑制，而细胞核中心是表达活跃的区域。基于这些信息，与决定某条染色体在细胞核中位置无关的因素有：,该染色体的长度,该染色体所包含基因的数量,该染色体是否包含核糖体 DNA,该染色体上正在被活跃转录的基因数量,,B,CDNA
11,两种蛋白质的氨基酸组成（即每种氨基酸的含量）完全一致，但它们的排列顺序不同。以下可以分离这两种蛋白质的最佳方案是：,SDS-PAGE,MALDI-TOF-MS,非变性凝胶电泳,等电聚焦电泳,,C,C
12,以下是新冠病毒的图像，其中用电镜负染色技术得到的图像是：,,,,,,B,E
13,培养细胞用 DNA 荧光染料染色，然后用流式细胞仪分选，可以测定每个细胞的荧光强度，图为实验结果。以下分析错误的是：,荧光量最高的峰对应于有丝分裂的 G2 和 M 期,荧光量最低的峰对应于有丝分裂的 G1 期,A 峰与 C 峰之间的 B 对应于有丝分裂的 S 期,处在荧光量最高峰细胞的 DNA 为二倍性,,D,DDNA
14,把细胞先在 3H-胸腺嘧啶培养基中培养 30 分钟，再转移到正常培养基中培养（此时间点记为 0h），并在不同时间点收集细胞，检测带有放射性标记的 M 期细胞，结果如图。根据该图结果，下面描述错误的是：,在 3H-胸腺嘧啶培养基中培养的 30min 内，只有 S 期的细胞才能被标记上,标记后，首先出现的不含放射性标记的 M 期细胞在标记开始时处在 G2 期,第一个被标记的 M 期细胞在正常培养后的约 3h 被检测到,第一个被标记的 M 期细胞，在 3H-胸腺嘧啶标记的 30min 内正处在 S 期的开始,,D,AHS
15,对上题实验所绘制的细胞分裂-时间曲线进行分析，可以获得相关细胞周期的信息，以下分析错误的是：（2 分）,在曲线的第一个上升段 50%的点，放射性标记的 M 期细胞当标记开始时处于 S 期晚期,20 小时以后曲线再次上升，表示被放射性标记的细胞进入第二次有丝分裂,由图难以估算出 S 期的时间,由图可以估算出细胞周期的长度大约为 27 小时,,C,AMS
16,如图，加入不同的细胞周期特异抑制剂，可以分别在细胞周期的不同时相抑制有丝分裂的进行。根据流式细胞仪的检测结果，以下结论最不合理的是：,从 A 图可以推测添加的抑制剂作用于 M 期,从 B 图可以推测添加的抑制剂作用于 S 期,从 C 图可以推测添加的抑制剂作用于 G2 期,B 图较宽的波形是因为包含了处于细胞周期不同时期的细胞,,C,E
17,在神经细胞的分化过程中，miRNA 抑制复合物 REST 的功能，从而解除后者对神经细胞特异转录因子的限制，而PTB蛋白能通过竞争性结合miRNA的靶向mRNA 来抑制miRNA 的功能，而 PTB 的 mRNA 又是 miRNA mir-124 的靶向 mRNA 之一。结合以上信息，以下操作能用于在分化细胞中重编程产生神经元的是：（多选）,降低 mir-124 的表达,降低 PTB 的表达,降低 REST 的表达,以上操作均可,,BC,D
18,同一种信号分子对人的不同类型细胞可能产生不同的效应，例如乙酰胆碱作用于心肌细胞减弱其收缩，作用于骨胳肌细胞则促使其收缩。对此现象的解释合理的有：（多选）,不同细胞基因组不同，对信号分子的响应不同,不同细胞结合同种信号分子的受体不同,不同细胞表达不同的信号传递蛋白和效应蛋白,不同细胞激活编码不同效应蛋白的靶基因,,BCD,BCD
