0,在传统的 TRIzol 法提取 RNA 中使用了苯酚和氯仿，以下说法正确的是（多选）（ ）,苯酚可以裂解细胞,氯仿可以用于抽提样品中残存的苯酚,氯仿可以使 DNA 变性,氯仿可以用于抽提样品中的一些脂溶性杂质,,ABD,"B, D"
1,绿色荧光蛋白 GFP 外周围成圆柱状的栅栏的是蛋白质的一种二级结构（如图）。关于这种二级结构及结构中常见的氨基酸，下列组合正确的有（多选）（ ）,α-螺旋；Phe,α-螺旋；Gly,β-折叠；Phe,β-折叠；Tyr,,CD,这个问题涉及蛋白质的二级结构和特定氨基酸在这些结构中的作用。根据蛋白质二级结构的知识：- **α-螺旋**通常由连续的右手螺旋组成，氨基酸侧链伸向螺旋外侧。**苯丙氨酸（Phe）**的侧链较大且亲脂性，因此它倾向于位于α-螺旋的外部。- **β-折叠**是由两条或多条肽链平行或反平行排列形成的平面结构，氨基酸的侧链在平面内，主链形成锯齿状。**酪氨酸（Tyr）**的侧链含有酚环，也倾向于位于β-折叠的内部。因此，正确的选项是：- **A. α-螺旋；Phe**- **C. β-折叠；Tyr**答案选项中包括了多选题的形式，但实际上这个题目是要求选出正确的组合，所以正确的答案应该列出所有正确的选项，即A和C。然而，由于题目格式的问题，实际操作中可能只能选择一个答案，这在逻辑上是有矛盾的。在给定的选项中，最准确的回答应该是将A和C作为两个独立的选项来识别。如果必须选择一个代表全部正确答案的选项，那么在现有选项下，没有一个单独的选项能够完全准确地代表这两个正确答案。因此，理想情况下，应该有两个选项分别对应A和C，但根据提供的选项，我们只能指出正确的二级结构和对应的氨基酸，即α-螺旋与Phe，以及β-折叠与Tyr。
2,从含有 N 端 6*His 标签的 GFP 蛋白的大肠杆菌裂解液中纯化 GFP 的层析方法首选（ ）,疏水相互作用层析,离子交换层析,固定化金属离子亲和层析,凝胶过滤层析,,C,C. 固定化金属离子亲和层析
3,想要分离纯化一种等电点是 4.0 的目的蛋白，当在 pH 为 7.0 的溶液还含有等电点分别为 6.0、7.5、8.5 的 3 种杂蛋白时，纯化目的蛋白应优先选用的层析方法是（ ）,阴离子交换色谱法,阳离子交换色谱法,凝胶过滤层析,疏水相互作用层析,,A,B. 阳离子交换色谱法
4,在正常细胞中过度增强脂肪酸氧化则抑制葡萄糖的氧化代谢，能够解释该机制的说法有（多选）（ ）,脂肪酸氧化产生乙酰-CoA，后者通过变构激活丙酮酸脱氢酶复合物（PDHc）激酶，来磷酸化 PDHc，从而抑制 PDHc 活性,脂肪酸氧化产生的乙酰-CoA 不能全部进入 TCA 循环彻底氧化，多余的乙酰-CoA 转化为柠檬酸，被运至胞浆中,柠檬酸变构抑制糖酵解途径中关键酶的活性,脂肪酸氧化产生的乙酰-CoA 通过激活 PEP 羧激酶的活性，从而减少 PEP 的生成,,ABC,C
5,肿瘤细胞与正常细胞的代谢存在很大差异，肿瘤细胞在有氧条件下通过糖酵解消耗大量葡萄糖。研究人员发现肿瘤抑制因子 p53 与葡萄糖-6-磷酸脱氢酶结合并抑制其活性。以下解释错误的是（ ）,在正常细胞中，葡萄糖通过糖酵解途径和三羧酸循环为细胞生长提供能量,在 p53 发生突变或缺失的肿瘤细胞中，受 p53 抑制的糖代谢途径被激活，大量葡萄糖被消耗,葡萄糖-6-磷酸脱氢酶是糖酵解途径中的一个酶,肿瘤抑制因子 p53 在代谢平衡调控中发挥作用,,C,C
6,研究者用一个 mRNA 分子与包含相应基因的基因组 DNA 杂交，在电子显微镜下观察到如图所示的分子杂交结果。根据实验结果推断，问号箭头所指的那段 DNA 最有可能属于（ ）,复制子,启动子,外显子,内含子,,D,答案是：C. 外显子
8,体外培养心肌细胞，用显微注射法将某种极性的小分子荧光染料注入其中一个细胞，之后立即观察，发现这个细胞及周围细胞均呈现荧光。你认为最可能的原因是（ ）,细胞膜的流动性导致荧光染料扩散到其它细胞,荧光染料通过胞吐胞吞作用进入其它细胞,荧光染料经细胞间的通讯连接进入其它细胞,荧光染料经胞间连丝进入其它细胞,,C,A. 细胞膜的流动性导致荧光染料扩散到其它细胞
9,用紫外线（UVB）照射以及细胞因子 IL-1α处理细胞，研究 DNA 损伤的情况，未处理的细胞作为对照。处理 1 小时和 3 小时后检测 DNA 损伤程度，实验结果如图所示。由结果下列叙述错误的是（ ）,UVB 能够增加 DNA 损伤的发生,IL-1α能够增加 DNA 损伤的发生,IL-1α不影响 DNA 损伤的发生,UV 处理后随着时间延长，DNA 损伤的程度会逐渐变低,,B,C
10,液泡中 pH 的不同会使植物表现出不同的花色。较高的液泡 pH 花瓣会呈现蓝色，而较低的 pH 花瓣会呈现红色。植物液泡的 pH 由 X 和 Y 两组基因控制，X 促进 H+ 转运进入液泡，而 Y 导致 H+运出液泡。能得到蓝色花植物遗传操作有（多选）（ ）,降低植物中 X 基因表达,向植物中转入 Y 基因,降低植物中 Y 基因表达,向植物中转入 X 基因,,AB,D. 向植物中转入 X 基因
11,在 37℃下，Scc1ts 和 Eco1ts的突变体的复制都开始于 1.5 小时，那么可以得出的结论有（多选）（ ）,Scc1 对于复制是必需的，而 Eco1 对于复制不是必需的,Eco1 对于复制是必需的，而 Scc1 对于复制不是必需的,Scc1 和 Ecol 对于复制都是必需的,Scc1ts 和 Eco1ts 突变体在 37℃下可以生长，但进入 S 期则存活力显著下降,,CD,D. Scc1ts 和 Eco1ts 突变体在 37℃下可以生长，但进入 S 期则存活力显著下降
12,在 25℃下，S 期在 2 小时时间点结束，那么 Scc1 和 Eco1 对细胞生存力的影响是（多选） （ ）,S 期结束以后，Scc1 是必需的，Eco1 不是,S 期结束以后，Eco1 是必需的，Scc1 不是,S 期结束以后，Eco1 和 Scc1 都是必需的,Eco1ts突变体在完成 S 期后从 25℃转移至 37℃以后仍然可以生长并增殖,,AD,这个问题涉及到真核生物细胞周期调控中的Scc1和Eco1蛋白的作用。Scc1和Eco1是与S期相关的关键蛋白质，分别参与DNA复制的启动和维持。然而，具体它们在不同温度下的表现以及对细胞生存力的影响，需要基于特定的实验数据来判断。由于没有提供具体的实验数据或背景信息，我们只能基于一般知识和逻辑来进行分析。根据一般的细胞周期知识，S期是DNA复制的时期，通常在细胞分裂前进行。Scc1和Eco1在这期间扮演关键角色。Eco1主要负责DNA复制的检查点控制，而Scc1可能涉及染色体结构的稳定。选项分析：A. Scc1是必需的，Eco1不是 - 这个选项表述不准确，因为两者在S期都发挥重要作用，但不一定一个必需另一个不必要。B. Scc1不是必需的，Eco1是必需的 - 同样，这个描述过于片面，实际情况可能更复杂。C. Eco1ts突变体在完成S期后从25℃转移至37℃仍然可以生长并增殖 - 这个选项暗示了Eco1的ts（温度敏感）突变体在特定条件下仍能生长，这可能是因为存在补偿机制或其他调节因素，但没有足够的信息来确定这一点。D. S 期结束以后，Eco1是必需的，Scc1不是 - 类似于选项A和B，这个描述也过于简化，实际上在不同的细胞状态和环境下，两种蛋白质可能都有其特定的必需性。E. nan - 这个选项通常表示“无数据”或“未给出”，如果问题是基于假设或一般知识设计的，那么这可能是正确的回答，因为它承认了缺乏具体实验数据的情况。考虑到以上分析，如果我们仅基于一般知识和逻辑推理，选项E（nan）可能是最合适的答案，因为它反映了在没有具体实验数据的情况下，无法确切判断Scc1和Eco1在特定条件下的必需性的不确定性。然而，这个问题的设计可能旨在测试考生对细胞周期调控知识的理解和应用能力，而不是依赖于具体实验细节。因此，对于这样的问题，最好的回答可能是强调缺乏具体证据的重要性，即选项E（nan）。
13,根据实验结果，对 Scc1 功能可以得出的合理推测有（多选）（ ）,Scc1 必须有功能，以便在 S 期形成粘连蛋白复合体,Scc1 只对细胞的 S 期是必需的,Scc1 对于细胞的 S 期、G2 期直到细胞分裂是必需的,由于 Scc1 是粘连蛋白复合体的组分，因此，无功能的 Scc1 将导致姊妹染色单体之间不能粘连,,ACD,"A, C, D"
14,根据实验结果，对 Eco1 功能可以得出的合理推测有（多选）（ ）,Eco1 的作用与 Scc1 不同,Eco1 在 S 期是必需的，但 S 期结束后则不是必需的,Eco1 可能通过某种途径协助建立粘连蛋白复合体,Eco1 直接参与 DNA 复制,,ABC,根据提供的信息，正确的选项是：A. Eco1 的作用与 Scc1 不同B. Eco1 在 S 期是必需的，但 S 期结束后则不是必需的C. Eco1 可能通过某种途径协助建立粘连蛋白复合体请注意，由于缺少具体实验结果和上下文，选项D和E是否正确无法确定。通常在生物学实验中，如果某个蛋白质在特定时期对于细胞周期、DNA复制等过程是必需的，那么在那个时期缺失它会导致特定的影响；如果它参与了特定的生物化学途径，那么它在那个途径中的作用可能是关键的。而如果选项中提到的Eco1没有被明确指出与Scc1的功能相同或不同，或者它的功能并不涉及DNA复制或者与粘连蛋白复合体无关，那么这些选项可能也是基于合理的推测。但最终的判断需要基于具体的实验数据和研究背景。
15,病毒是非细胞形态的生命体，下面的说法正确的是（ ）,病毒很小，必须用高倍的光学显微镜才能看清楚它的结构,在自然条件下，病毒的复制只能在活细胞内进行,病毒粒子包裹的遗传物质，或为 DNA，或为 RNA，如冠状病毒的遗传物质是 DNA,在电子显微镜下可见冠状病毒的衣壳蛋白向外侧延伸形成日冕状结构，冠状病毒因此得名,,B,B. 在自然条件下，病毒的复制只能在活细胞内进行
16,在脊椎动物发育过程中，一部分细胞会发生程序性细胞死亡。下面说法正确的有（多选） （ ）,程序性细胞死亡都是通过细胞凋亡的形式进行的，所以这两个概念是等同的,凋亡是一种特殊的程序性死亡方式,在凋亡过程中，细胞变得皱缩，质膜出泡，染色质凝集，而且常常会引起炎症反应,凋亡细胞的形态学及生化特征是由效应 caspases 作用于他们的底物而引起的,,BD,"B, D"
17,离子的电化学梯度是细胞多种生命活动的能量来源，由质子（氢离子）驱动的过程包括（多选）（ ）,线粒体内膜上的 ATP 合成酶合成 ATP,细菌鞭毛的转动,细菌通过协同运输吸收葡萄糖,神经细胞产生动作电位,,ABC,C
18,硫酸盐可被微生物还原为还原态的硫化物，如果硫酸盐的还原产物被同化到细胞组分中或形成有机硫化合物，这个过程称为（ ）,同化性硫酸盐还原,异化性硫酸盐还原,硫化作用,反硫化作用,,A,A. 同化性硫酸盐还原
19,类病毒是一种比病毒更小的侵染因子，对于类病毒，以下描述是正确的是（多选）（ ）,单链环状 DNA 分子,单联环状 RNA 分子,不能编码蛋白质,无 mRNA 活性,,BCD,B. 单联环状 RNA 分子
20,在下列微生物中，与其他三种微生物亲缘关系最远的是（ ）,枯草芽孢杆菌,金黄色葡萄球菌,詹氏甲烷球菌,结核分枝杆菌,,C,C. 詹氏甲烷球菌
21,研究人员从东北酸菜中分离纯化出一种微生物，测定了其抑菌性能，并进一步利用分步沉淀及层析等方法提纯了抑菌产物。在下列实验与验证产品的抑菌功能基本无关的是 （ ）,利用 16s rRNA 序列鉴定菌种,碳源利用实验,产物的抗菌谱,产物的最小抑菌浓度,,B,A. 利用 16s rRNA 序列鉴定菌种
22,蛋白质结构预测的方法主要分为演绎法和归纳法。下列蛋白质结构预测方法中属于归纳法的有（多选）（ ）,分子力学,分子动力学,同源建模法,穿线法（ threading ）,,CD,这个问题的答案似乎不完整或存在一些混淆，因为选项中包含了“穿线法（threading）”，这是一个通常被认为是归纳法的蛋白质结构预测方法。然而，选项A（分子力学）、选项B（分子动力学）、选项C（同源建模法）以及选项D（穿线法）都可以被视为蛋白质结构预测的归纳法方法，因为它们基于已知结构进行推断或构建新的结构。选项E（nan）没有提供足够的信息来判断它是否与蛋白质结构预测相关，因此不能确定它是否属于归纳法的一部分。在生物学领域，归纳法通常意味着从具体实例中推导出一般原则或模型，而演绎法则相反，是从普遍原理推导出特定实例。在蛋白质结构预测中，归纳法可能指的是利用已知结构的数据来构建新结构的方法，如同源建模或穿线法，而演绎法可能指的是从基本物理化学原理出发计算结构的方法，如分子力学或分子动力学模拟。综上所述，如果必须从给定的选项中选择一个最接近正确答案的部分，那么可能是选项C（同源建模法），因为它基于相似性搜索和已知结构来进行建模，这符合归纳法的逻辑。但是，完整的答案应该是包括选项C、D，而选项A、B、E需要更多上下文信息来确定其准确分类。
24,绝大多数两栖动物生活在淡水环境，也有少数种类生活于海滨潮间带的海水中。为了探讨这些两栖类对环境的适应性，研究人员提出了下列假设。这些假设中合理的有（多选） （ ）,它可能会有肾外排盐的结构,它的皮肤可能会有大量的单细胞粘液腺,它的肾脏内可能会有大量的肾小球,它的体液可能会有较高的渗透压,,AD,A. 它可能会有肾外排盐的结构B. 它的皮肤可能会有大量的单细胞粘液腺D. 它的体液可能会有较高的渗透压
25,一般认为，腹足纲动物在演化过程中经历过“扭转”过程，形成了不对称的体制；后鳃亚纲后来又经历了“反扭转”过程，这样身体外形是两侧对称的。支持后鳃亚纲经历过“扭转-反扭转”过程的特征是（ ）,后鳃亚纲动物都不具有壳,后鳃亚纲动物具有 2 对触角,后鳃亚纲动物的肛门在身体的前端,后鳃亚纲有一个心耳,,D,D. 后鳃亚纲有一个心耳
26,通过对一个琥珀内保存的来自白垩纪的头骨化石进行分析。研究者认为它是一种小型鸟类——眼齿鸟，并提出眼齿鸟是仅次于始祖鸟的原始鸟类。但其他多位学者认为这一标本属于爬行类。请观察图，始祖鸟具有但眼齿鸟不具备的特征是（ ）,眶前孔,齿,鼻孔,巩膜骨,,A,D. 巩膜骨
27,不同脊椎动物类群的心脏血管差异较大，下图为陆栖脊椎动物心脏及其附近动脉的模式图，模式图均以腹面向上的方式展示，其中 Cc 为颈总动脉。以下说法正确的是（ ）,Sc 是肺动脉，图（b）是鸟类的模式结构,Sc 是肺动脉，图（d）是鸟类的模式结构,Sc 是锁骨下动脉，图（b）是鸟类的模式结构,Sc 是锁骨下动脉，图（d）是鸟类的模式结构,,D,答案是：B. Sc 是肺动脉，图（d）是鸟类的模式结构
28,菊粉会在肾脏中被完全过滤，且不会被重吸收，被用于测试肾脏的功能参数。假设在某一生理条件下，尿液流速为 1mL/min ，原液中菊粉的浓度为 100mg/mL ，血浆中的菊粉浓度为 2mg/mL ，原液中尿素浓度为 50mg/mL ，血浆中的尿素浓度为 2mg/mL 。在这一条件下，下列说法正确的是（ ）,血液经过肾脏的流速为 66 mL/min,肾小球的过滤速度为 50 mL/min,尿素重吸收的速度为 50mg/mL,尿素重吸收的速度为 100 mg/mL,,B,A. 血液经过肾脏的流速为 66 mL/min
30,几乎所有生物都有内在的生物钟，调节代谢、行为等的昼夜节律。果蝇的羽化过程也受到昼夜节律调节，羽化往往发生在清晨，而非下午和晚上。下图分别展示了野生型、节律缩短型、节律延长型和节律混乱型四个果蝇品系的羽化数据，横轴为天数，纵轴为每小时羽化数量。分别正确对应了野生型、节律缩短型、节律延长型和节律混乱型四种果蝇品系的是（ ）,IV，III，I，II,I，II，IV，III,IV，I，III，II,I，III，IV，II,,A,答案是：C
31,后续研究发现，节律缩短型、延长型、混乱型这三个品系是果蝇同一个基因 period 的不同突变类型，显然 period 基因编码的蛋白参与了果蝇昼夜节律的建立。这三种突变，有两种为错义突变，一种为无义突变。最可能由无义突变导致的品系是（ ）,节律缩短型,节律延长型,节律混乱型,节律不变型,,C,C. 节律混乱型
32,一位 56 岁女性在过去几年里嗜睡伴有体重增加。查体时发现，患者甲状腺肿痛，皮肤厚硬，低碘血症。对于该患者的诊断结论以及其血液中促甲状腺激素（TSH）的水平应该是（ ）,甲状腺功能亢进，高水平 TSH,甲状腺功能亢进，正常水平 TSH,甲状腺功能减退，高水平 TSH,甲状腺功能减退，正常水平 TSH,甲状腺功能减退，低水平 TSH,C,C. 甲状腺功能减退，高水平 TSH
33,神经细胞受到刺激后细胞膜上的钠离子通道打开。下面说法正确的是（ ）,Na+内流是自由扩散，引起细胞膜电位去极化,Na+内流是协助转运，引起细胞膜电位去极化,Na+内流是主动转运，引起细胞膜电位去极化,Na+内流是主动转运，引起细胞电位超极化,,B,B. Na+内流是协助转运，引起细胞膜电位去极化
34,同时剪断家兔脊神经背根和腹根后，刺激哪个部位可以引起其四肢肌肉收缩（ ）,背根中枢端,腹根中枢端,背根外周端,腹根外周端,,D,C. 背根外周端
36,关于 BC 所示细胞的位置，以下说法正确的是（ ）,近轴面，因为这些细胞在叶脉木质部一侧,近轴面，因为这些细胞一侧的表皮细胞光滑,远轴面，因为这些细胞在叶脉韧皮部一侧,远轴面，因为这些细胞一侧的表皮细胞光滑,,A,C. 远轴面，因为这些细胞在叶脉韧皮部一侧
