0,浮浪幼虫是哪类动物的幼虫？,腔肠动物,扁形动物,环节动物,线形动物,A,A
1,扁形动物的下述哪一种主要特征的形成是动物由水生进化到陆生的基本条件之一？,两侧对称,无体腔,原肾管,发达生殖系统,A,A
2,陆生爬行类体内含氮废物随尿液排出的主要形式是,尿素,尿酸,氨基酸,氨,B,B
3,高等无脊椎动物与脊索动物的共同特征为,具头索、后口、真体腔,后口、三胚层、真体腔,有鳃裂、肛后尾、神经管,有神经管、三胚层、两侧对称,B,B
4,周围神经系统包括,脊髓、脑神经、自主神经系统,自主神经系统、脑神经、脊神经,脑、脊神经、交感神经,脑、脊神经、交感神经、副交感神经,B,B
5,下列动物中的哪一纲中所有动物生活史中至少有一个时期营寄生生活,变形虫纲,孢子虫纲,鞭毛虫纲,纤毛虫纲,B,B
6,渐变态昆虫的发育特征是,无蛹期，生活习性与成虫一样,无蛹期，生活习性与成虫不一样,有蛹期，生活习性与成虫不一样,有蛹期，生活习性与成虫一样,A,A
7,下列哪种人类疾病与蚊子有关系,昏睡病,血吸虫病,痢疾,疟疾,D,D
8,认为头足类动物是最进化的软体动物的理由为,足移到头部与头部愈合,外骨骼演化成为内骨骼,闭管式循环系统,外套膜十分发达,C,AC
9,绦虫区别于吸虫的特征为,生殖系统非常发达,成虫均为寄生生活,神经系统退化消失,幼虫均为寄生生活,D,C
10,下列结构中，哪一种不是淋巴器官,头肾,扁桃体,脾脏,甲状旁腺,D,D
11,节肢动物循环系统的复杂程度与下列哪些因素密切相关,排泄系统的类型,陆生还是水生,跗肢的数量,呼吸系统的类型,D,
12,下列哪一组动物均有肛门？,软骨鱼，硬骨鱼，爬行类,七鳃鳗，硬骨鱼，狗,两栖类，爬行类，鸟类,软骨鱼，鸟类，单孔类,B,C
13,丘脑是指：,四叠体的前二叶,中脑背部,间脑侧壁,大脑纹状体,C,C
14,下列哪一组动物均具爪？,狗，蛇，海马,蜥蜴，鲸，蟾蜍,蛙，鲟鱼，鸡,鳄，穿山甲，鹰,D,D
15,膈肌属于：,轴上肌,轴下肌,鳃下肌,附肢肌,B,B
16,下列哪一种陈述是正确的？,在同样的速度下，马的奔跑和小跑消耗大约相同的能量。,奔跑的马的脊柱在每一步的周期中弯曲和伸展，但在小跑时它仍保持硬挺。,沿股骨的前方伸展的大块肌肉(股四头肌)是膝关节的主要屈肌。,由于增强的韧带和肌肉，肩胛骨在奔跑和小跑期间仍被牢固地固定着。,B,ABCD
17,下列哪一种陈述指出了节肢动物和脊椎动物之间真正的不同？,一种是真体腔动物，另一种是无体腔动物,一种是原口动物，另一种是后口动物,一种是上皮神经系的，另一种是下神经系的,一种是后口动物，另一种是上神经系的,B,B
