0,甜菜块根液泡中的花青素使块根呈红色，将此根切成小块放入蒸馏水中无明显变化，若先用盐酸处理，再放入蒸馏水中，则水变为红色，原因是：,盐酸破坏了细胞壁,盐酸破坏了细胞膜,盐酸破坏了原生质层,花青素溶于盐酸而不溶于水,,,C,C. 盐酸破坏了原生质层
1,在人的体液中，CO2分压最高的是：,组织液,细胞内液,血液,淋巴,,,B,B. 细胞内液
2,氨基酸在等电点时具有的特点是：,不具正电荷,不具负电荷,溶解度最大,在电场中不泳动,,,D,D. 在电场中不泳动
3,氨基酸与蛋白质共有的特性是：,胶体性质,沉淀反应,两性性质,双缩脲反应,,,C,C. 两性性质
4,DNA与RNA分类的主要依据是：,空间结构的不同,所含碱基不同,所含戊糖不同,在细胞中存在的部位不同,,,C,C. 所含戊糖不同
6,脂肪酶是一种限速酶，具有负调节作用的激素是：,肾上腺素,胰岛素,胰高血糖素,肾上腺皮质激素,,,B,B. 胰岛素
7,动物细胞基因组DNA的复制发生在细胞生活周期的哪一个特定时期？,G1期,G2期,S期,M期,,,C,C. S期
8,成熟红细胞的主要能量来源是：,糖的有氧氧化,脂肪酸β-氧化,糖酵解,磷酸戊糖途径酶,,,C,C. 糖酵解
9,自然界最小的细胞是,病毒,支原体,血小板,细菌,,,B,B. 支原体
10,在减数分裂I的前期中染色体出现配对及交叉互换，此现象：,发生在姊妹染色体之间,发生在同源染色体之间,在染色体之间随机进行,在姊妹染色体之间与同源染色体之间均能发生,,,B,B. 发生在同源染色体之间
11,与蛋白质、脂类和糖类的合成都有关的细胞器是：,核糖体,溶酶体,内质网,中心体,,,C,C. 内质网
12,动物细胞中与有丝分裂有关的细胞器是：,溶酶体,高尔基体,内质网,中心体,,,D,D. 中心体
13,姐妹染色体指：,一对同源染色体,细胞分裂间期已复制形成的一对染色体,一对非同源染色体,细胞分裂期已复制形成的一对染色体,,,D,B. 细胞分裂间期已复制形成的一对染色体
14,核仁逐渐解体，核膜逐渐消失发生在有丝分裂的哪一期？,前期,中期,后期,末期,,,A,A. 前期
15,哪个是癌细胞的特征？,细胞萎缩，新陈代谢的速度减慢,无限增殖，失去控制,仍具有发育的潜能,细胞内的色素逐渐积累,,,B,B. 无限增殖，失去控制
16,果蝇幼虫唾液腺细胞中，多线染色体的膨泡显示的是：,重复序列的DNA复制,RNA转录,合成分泌性蛋白质,大量合成卵黄蛋白,,,B,B. RNA转录
17,白喉棒杆菌的致病因素是：,内毒素,外毒素,侵袭酶类,荚膜,,,B,B. 外毒素
18,在筛选抗青霉素菌株时，须在培养基中加入青霉素，其作用是：,筛选,诱变,既筛选又诱变,以上答案都不对,,,A,A. 筛选
19,病毒具有的核酸类型为：,所有的病毒都只有DNA,所有的病毒都只有RNA,"一种病毒既有DNA, 又有RNA","一种病毒只有一种核酸, DNA或RNA",,,D,"D. 一种病毒只有一种核酸, DNA或RNA"
20,菟丝子属于下列哪一种根？,寄生根,攀援根,板状根,支柱根,,,A,A. 寄生根
21,关于“先锋植物”—地衣的叙述中不正确的是：,地衣能附着在云杉、冷杉等植物上，帮助这些植物进行光合作用,地衣可以分泌地衣酸,地衣可以用于制造香料,地衣有进行有性生殖的类型,,,A,A
22,从海的不同深度采集到4种类型的浮游植物(Ⅰ、Ⅱ、Ⅲ和Ⅳ)。测定了每种类型的光合作用，如右图所示。在最深处采集到的是哪种类型的浮游植物？,Ⅰ,Ⅱ,Ⅲ,Ⅳ,,,D,D. Ⅳ
23,形成层通过径向分裂产生：,次生木质部,次生韧皮部,次生维管组织,使层周径扩大,,,D,D. 使层周径扩大
24,500克黄豆制成2500克黄豆芽，在这个过程中有机物总量的变化是：,增多,减少,不增也不减,以上都不对,,,B,B. 减少
25,胞间连丝存在于：,动物上皮细胞之间,植物组织细胞之间,蓝藻群体细胞之间,四联球菌各细胞之间,,,B,B. 植物组织细胞之间
26,以下哪种盐与磷矿粉一同使用有利于磷肥的吸收？,(NH4)2SO4,CaCl2,NaNO3,NH4NO3,,,A,A. (NH4)2SO4
27,在根系吸收无机离子的过程中，以下哪个因素起着决定性的作用？,根尖表皮细胞内外无机离子的浓度差,根尖表皮细胞内外的化学电势差,根系的呼吸速率,植物的蒸腾速率,,,C,A. 根尖表皮细胞内外无机离子的浓度差
28,以下有关光合色素性质的论述中，哪一项是正确的？,完整叶绿体提取液的荧光比叶绿体色素提取液的荧光强,只有少数叶绿素b具有光能转换的功能,溶解度法分离叶绿素和类胡萝卜素的机理是类胡萝卜素发生皂化反应后转移至上层水中,醋酸-醋酸铜溶液使植物叶片保绿的原因是它可促使叶绿素转变为稳定的亮绿色的去镁叶绿素,,,A,D. 醋酸-醋酸铜溶液使植物叶片保绿的原因是它可促使叶绿素转变为稳定的亮绿色的去镁叶绿素
29,下述有关植物细胞质壁分离的论述中，哪一项是不正确的？,初生质壁分离时，细胞的压力势等于零,在质壁分离现象中，与细胞壁分离的质并不是原生质,蚕豆根的分生细胞放在20%的蔗糖溶液中，能够发生质壁分离,将洋葱表皮细胞放入一定浓度的硝酸钾溶液中，其细胞发生质壁分离后又发生质壁分离复原。其原因是钾离子和硝酸根离子都进入了细胞,,,C,C
30,下述有关叶片营养的讨论，哪一项是不正确的？,喷施的营养液并不只是通过气孔而进入叶内,幼嫩叶吸收营养元素比成长叶反而迅速而且量大,只有在作物生长后期才能进行根外施肥,根外施肥不一定都在傍晚或下午4点以后,,,C,C. 只有在作物生长后期才能进行根外施肥
31,以下对于阴生植物和阳生植物的讨论，哪一项是不正确的？,阴生植物叶片的输导组织比阳生植物稀疏，所以当光照强度很大时，它的光合速率便不再增加,阴生植物的叶绿体中基粒较大，基粒片层多，所以阴生植物在较低的光强度下能充分地吸收光能,阴生植物的叶绿素b和叶绿素a的比值小，所以阴生植物能强烈地利用蓝光，适应于遮阴处生长,阴生植物的叶绿素含量较高，所以阴生植物在较低的光强度下能充分地吸收光能,,,C,D. 阴生植物的叶绿素含量较高，所以阴生植物在较低的光强度下能充分地吸收光能
32,光呼吸底物氧化的地点在：,叶绿体,过氧化物酶体,线粒体,细胞质,,,B,C. 线粒体
33,榕树的支柱根又可称为：,侧根,定根,不定根,须根,,,C,C. 不定根
34,蛙的通气与小鼠不同的是：,蛙主要通过皮肤通气,蛙采用正压通气,蛙气囊发达,蛙肺泡直径小,,,B,A. 蛙主要通过皮肤通气
35,对于一块骨来说，其传导声波的特点之一是：,对方向性敏感,低频感应强,效率较高,随年龄增大传音功能下降,,,B,C. 效率较高
37,对于河蚌来说，下列哪一种答案与其生活方式关系最密切？,肛门开口在出水管附近,肠管穿过心脏,由于外套膜和鳃上纤毛的摆动而使水流在外套腔中流动,有血窦存在,,,C,C. 由于外套膜和鳃上纤毛的摆动而使水流在外套腔中流动
38,下列动物中，小肠相对最长且最弯曲的是：,野猪,家兔,山羊,野马,,,C,C. 山羊
39,将4只雄蚕蛾分别作如下处理后，观察其对雌蚕蛾的反应，最迟钝的应是：,剪去触角者,遮盖单眼者,遮盖复眼者,封闭口器者,,,A,D. 封闭口器者
40,不靠血液把氧气运往全身各处的动物有：,水螅,涡虫,蚯蚓,蝗虫,河蚌,鱼,C,答案是：ABCD
41,某小孩儿喜欢晒太阳，但有时却发生抽搐，那么应建议他服用哪种物质防止抽搐发生？,维生素A,生理盐水,糖水,钙片,,,D,D. 钙片
43,渴觉的产生是由于下列哪一种刺激引起的？,循环血量的增加,血浆渗透压降低,血浆CO2分压升高,血浆晶体渗透压升高,,,D,D. 血浆晶体渗透压升高
44,急性失血时，最先出现的代偿反应是：,血管的自身调节,交感神经兴奋,组织液回收增加,血管紧张素增多,,,B,B. 交感神经兴奋
45,“小儿麻痹”病是由于：,大脑灰质部分区域被病毒感染产生炎症的结果,大脑白质部分区域被病毒感染产生炎症的结果,脊髓灰质被病毒感染发生炎症的结果,脊髓白质被病毒感染发生炎症的结果,,,C,C. 脊髓灰质被病毒感染发生炎症的结果
46,用冷冻的方法贮存人和动物精子的地方叫做精子库。精子库中的温度一般要保持在零下：,-23℃,-158℃,-196℃,-254℃,,,C,C. -196℃
47,在生物体内不断有生物电产生。产生生物电的直接原因是：,生物体内有微型“生理发电机”,新陈代谢过程的必然结果,细胞膜内外的电位差,有机营养物质在生物体内“燃烧”的结果,,,C,C. 细胞膜内外的电位差
48,当一个人的前臂受伤造成大出血时，对其进行止血结扎的最佳位置是：,腕部,上臂,伤口上端,腕部和上臂同时进行止血,,,B,B. 上臂
49,胃和肠的功能活动在哪些方面是相同的？,自发节律性,分泌无机物,分泌有机物,分节运动,,,A,A. 自发节律性
50,身体可以敏感地“测量”哪个分子的浓度变化？,葡萄糖,氨基酸,CO2,O2,,,C,C. CO2
51,下列属于后天获得的行为是：,候鸟迁徙,鸟类筑巢,蜘蛛结网,复杂的“鸟语”,,,D,D. 复杂的“鸟语”
52,生活在离海边50公里的某种小鸟，每天飞到海边取食时间都比前一天迟到50分钟。这种现象叫：,日节律,潮汐节律,月节律,无规律,,,B,B. 潮汐节律
53,将利用太阳定向的迁徙鸟置于笼中，下图A为正常迁徙方向，图B利用镜子改变了太阳照射的方向，则图B中鸟向什么方向迁飞？,东,南,西,北,,,C,B. 南
54,在自然选择过程中，最终对动物行为起支配作用的遗传物质是：,染色体,DNA,基因,RNA,,,C,C. 基因
55,蜜蜂是一种典型的社会性昆虫，它们的社会生活高度发展主要表现在个体形态和职能分工上的高度专门化，在蜜蜂群体中____表现出明显的利他行为。,蜂王,蜂后,工蜂,雄峰,,,C,C. 工蜂
56,城市中喜鹊的巢与巢之间离得很近，远小于市郊野外种群的巢间距离，其可能的原因是：,合适的巢址分布密集,食物充足,利于繁殖,喜鹊喜欢群居,,,AB,A. 合适的巢址分布密集
57,下列行为中哪种行为属于后天学习来的行为？,小鸭子出生后跟随首先看到的移动物体,小狗看到装食物的空盘子时也会分泌唾液,幼猴将马铃薯放在水中后洗净后再吃,山雀喜好取食个体较大的毛虫,,,BCD,C. 幼猴将马铃薯放在水中后洗净后再吃
58,无毒的拟斑蝶外观酷似色彩鲜艳、身体有毒的王斑蝶，这一现象属于：,贝茨拟态,缪勒拟态,警戒色,保护色,,,AC,A. 贝茨拟态
59,A/a与B/b是独立分配的，当AaBb自交，子代中表型的AB:ab的比例是9:7，你对此作何解释？,基因互补,显性上位,隐性上位,抑制基因,,,A,A. 基因互补
60,某植物种子胚乳的基因型是AaaBbb，其父本的基因型为AaBb，母本的基因型是：,AaBb,AABB,aaBb,aaBB,,,A,B. AABB
61,基因型为AaBbCc个体，经减数分裂产生8种配子的类型及比例如下：Abc：21% aBc：4% ABc：21% AbC：4% aBC：21% ABC：4% abC：21% abc：4% 三对基因在染色体上的正确位置是：,"aB Ab
c C","aC Ac
b B","a A
bC Bc",aBc AbC,,,B,答案是：B. aC Acb B
62,设椎实螺的螺壳向右旋是由显性基因D控制，螺壳向左旋是隐性基因d控制。若以两种椎实螺进行杂交(雌dd×雄DD)，则以下有关F1和F2表现型的叙述正确的是：,均为左旋,F1右旋，F2左旋、右旋都有,F1左旋，F2右旋,F1左旋，F2左旋、右旋都有,,,C,D. F1左旋，F2左旋、右旋都有
63,指出下列群体中哪些处于遗传平衡之中？,(1)100%AA,(2)100%Aa,(3)1%AA、98%Aa、1%aa,(4)32%AA、64%Aa、4%aa,(5)4%AA、32%Aa、64%aa,,A,E. (5)4%AA、32%Aa、64%aa
64,虫媒花与传粉昆虫的相互适应性是下列哪种方式进化的结果？,趋同进化,平行进化,协同进化,重复进化,,,C,C. 协同进化
65,在玉米中，AB/ab与AB/ab杂交后代中双隐性类型的数目为全部子代的16%，这两个基因间的遗传图距是：,10,20,40,60,,,B,答案是 A. 10
66,一雄蜂和一雌蜂交配后产生的F1中，雄蜂的基因型有AB、Ab、aB、ab四种；雌蜂的基因型有AaBb、Aabb、aaBb和aabb四种。则亲本的基因型是：,aaBb×Ab,AaBb×Ab,AAbb×aB,AaBb×ab,,,D,D. AaBb×ab
67,人工选择和自然选择的共同选择基础是：,生物的生存斗争,人和自然界的选择力量,生物的遗传和变异是普遍存在的,生物均具有很强的繁殖能力,,,C,C. 生物的遗传和变异是普遍存在的
68,基因型为AaBb的个体，能产生几种配子？,数目相等的四种配子,数目两两相等的四种配子,数目相等的两种配子,以上三种都有可能,,,D,A. 数目相等的四种配子
69,在水稻中，A对a、B对b为完全显性，Ab/aB基因型的植株自交，在其后代中数目最少的类型占子代总数的0.16%，则A-a和B-b两个基因座之间的距离为_个图距单位。,0.16,0.32,8,4,,,C,答案是：C. 8
70,一对夫妇均为某种低能症隐性基因的携带者，如果允许他们生4个孩子，那么3个孩子正常而1个孩子为低能的概率是：,27/64,1/256,81/256,3/64,,,A,C. 81/256
71,在ABO血型遗传中，后代可能出现三种血型的双亲之一血型一定为：,O,A,B,AB,,,D,在ABO血型系统中，血型的遗传遵循孟德尔的分离和自由组合定律。A、B、O、AB四种血型分别由I^A、I^B、i（O型）这三个等位基因决定。其中，I^A和I^B是共显性关系，与i基因是不完全显性的关系。对于后代可能出现三种血型的情况，意味着至少有一个双亲携带了I^A和I^B两个显性基因（即AB型）。因此，为了使后代出现包括AB型在内的三种血型（A、B、AB），双亲中至少有一方必须是AB型血。因为只有AB型血的人同时携带I^A和I^B两个显性基因，才能通过遗传传递给后代AB型血，同时让后代有可能出现A型或B型血（取决于来自父母的基因组合）。所以，正确答案是：D. AB
72,现有两个小麦品种A和B。如果想获得具有A品种细胞质和B品种细胞核的新个体要采取：,A×B的后代连续与B回交,A×B的后代连续与A回交,B×A的后代连续与B回交,B×A的后代连续与A回交,,,A,A. A×B的后代连续与B回交
73,在一个随机杂交的群体中，多基因遗传的变异范围广泛，大多数个体接近于中间类型，极端变异的个体很少。这些变异的产生是由：,多基因遗传基础和环境因素共同作用的结果,遗传基础的作用大小决定的,环境因素的作用大小决定的,多对基因的分离和自由组合的作用结果,,,A,A. 多基因遗传基础和环境因素共同作用的结果
74,在一个遗传平衡群体中，如果某一遗传病(XR—性连锁隐性遗传病)的男性发病率为0.04，该群体中女性的发病几率为：,0.04,0.08,0.0008,0.0016,,,D,C. 0.0008
75,从总的趋势上看，,愈是高等的生物，DNA含量愈高，DNA含量总是跟生物的复杂程度成正比,进化中要导致复杂生物体的产生，基因组中含有足够数量的不同基因是必需的,正是进化中形成的基因组中大量的DNA才导致复杂生物体的产生,进化中生物的DNA含量逐渐增加，基因组中含有足够数量的基因是导致复杂生物体的产生所必需的,,,B,B. 进化中要导致复杂生物体的产生，基因组中含有足够数量的不同基因是必需的
76,对于突变与进化的关系，以下哪种说法最正确？,有利的突变太少，不足以作为生物进化的原始材料,无论经过几次突变，突变前后基因间的等位关系是不会改变的,基因可通过突变改变核苷酸序列，但不会改变在染色体上的位置,突变的有利与否，随所处的环境而异,,,D,D. 突变的有利与否，随所处的环境而异
77,有关真核细胞的出现，哪一种说法不对？,真核细胞的起源奠定了有性生殖产生的基础,真核细胞的起源推动了动植物的分化,真核细胞的起源造成了生物体结构的简单化、功能的趋同化,真核细胞的起源促进了动物、植物、菌类三极生态系统的形成,,,C,C. 真核细胞的起源造成了生物体结构的简单化、功能的趋同化
78,古生代中期：,在动物中，以鱼类为最盛,在动物中，以爬行类为最盛,在植物中，以裸子植物为最盛,在植物中，蕨类植物尚未出现,,,A,C. 在植物中，以裸子植物为最盛
79,一般认为，植物和动物的共同祖先是：,细菌,原始绿色鞭毛生物,原始单核变形虫,蓝藻,,,B,B. 原始绿色鞭毛生物
80,关于自然选择与进化速度的关系：,选择压力增大常促进上升进化的产生,从大的范围来讲，整个海洋生物比陆地生物进化得快,选择压力增加，进化速度必定放慢,选择压力小，后代存活数便少,,,A,A. 选择压力增大常促进上升进化的产生
81,物种多样性最丰富的草原类型是：,草甸草原,典型草原,荒漠草原,高寒草原,,,A,A. 草甸草原
82,下列生态系统中，总初级生产量最高的是：,温带草原,热带草原,温带常绿阔叶林,热带雨林,,,D,D. 热带雨林
83,连接有机体和无机环境的两个重要环节是：,生产者和非生物成分,消费者和有机物质,生产者和消费者,生产者和分解者,,,D,D. 生产者和分解者
84,下列能预测一个国家或地区未来人口数量动态变化的是：,人口密度,年龄组成,性别比例,出生率和死亡率,,,D,B. 年龄组成
85,下属哪一个不是生物多样性所包括的内容：,遗传多样性,生物种类的多样化,丰盛的个体数量,生态系统多样性,,,C,C. 丰盛的个体数量
86,近年来北方地区沙尘暴频繁发生，其主要原因是：,频繁的地壳变动,北方寒流入侵,过度放牧、破坏生态环境,自然灾害,,,C,C. 过度放牧、破坏生态环境
87,在这个食物链中：草→鼠→鹰，若将鹰杀绝，那么田鼠的数量将会：,迅速上升,缓慢下降,先上升后下降,保持原来状态,,,C,C. 先上升后下降
88,环境污染主要集中在：,农村与工矿区,城市和农村,城市和工矿区,农村水源和土壤污染,,,C,C. 城市和工矿区
89,生态系统一般都包括：,生产者和非生物部分,消费者和非生物部分,生产者，消费者和分解者,生产者、消费者，分解者和非生物部分,,,D,D. 生产者、消费者，分解者和非生物部分
90,下列属于生产者和消费者关系的是：,老鼠食草籽,青蛙食害虫,蛇食青蛙,鹰食蛇,,,A,A. 老鼠食草籽
91,下列有关生态平衡的说法哪项是正确的？,生产者和分解者的数量相等,消费者和分解者的数量相等,生产者和消费者的数量相等,在生态系统中，各种生物的数量和比例总是维持相对平衡和稳定,,,D,D. 在生态系统中，各种生物的数量和比例总是维持相对平衡和稳定
92,下列既属于生态系统的主要成分，又属于自养型生物的是：,非生命的物质和能量,分解者,消费者,生产者,,,D,D. 生产者
94,下列不属于自然种群基本特征的是：,空间特征,数量特征,形态特征,遗传特征,,,C,C. 形态特征
95,"人类释放到自然界的DDT，一旦进入到生物体内，使处于最高营养级的动物体内，浓度会扩大100,000倍，这在生态学上被称作：",分解,生物累积,放大,再循环,,,B,B. 生物累积
96,温室效应产生的主要原因是：,环绕地球大气的CO2浓度上升,地球表面的能量反射,太阳辐射能量增加,太阳黑子的作用,,,A,A. 环绕地球大气的CO2浓度上升
97,能够有效地阻挡太阳的紫外线辐射的气层是：,大气上层,臭氧层,大气下层,温室效应,,,B,B. 臭氧层
98,在各森林类型中，土壤有机质含量由高到低的排列顺序是：,热带雨林、温带阔叶林、北方针叶林,北方针叶林、温带阔叶林、热带雨林,温带阔叶林、北方针叶林、热带雨林,北方针叶林、热带雨林、温带阔叶林,,,B,A. 热带雨林、温带阔叶林、北方针叶林
99,下列四组生物中，都属于真核生物的一组是：,噬菌体和根霉,细菌和草履虫,蓝藻和酵母菌,衣藻和变形虫,,,D,D. 衣藻和变形虫
100,如果将一个池塘内的水体分为a、b、c三层 (见图)，根据你对草履虫和眼虫的了解，你认为下列叙述正确的是：,草履虫主要生活在a层，眼虫主要生活在b层,草履虫主要生活在b层，眼虫主要生活在a层,草履虫和眼虫都主要生活在a层,草履虫和眼虫都主要生活在b层,,,C,C. 草履虫和眼虫都主要生活在a层
101,节肢动物是开管式循环，以下关于其血腔的描述中，正确的是：,充满血液的初生体腔,充满血液的组织间隙,充满血液的围心腔,充满血液的初生体腔与次生体腔相混合的腔,,,D,D. 充满血液的初生体腔与次生体腔相混合的腔
102,动物的结构都是由3个胚层直接或间接发育而来的。下列结构中，哪项不是由内胚层发育来的：,肠上皮,口腔粘膜,肝脏,肺泡,,,B,B. 口腔粘膜
103,在我国民间有“大灾之后有大疫”的说法，指在洪涝灾害之后往往会有大面积的传染病发生，你认为下列的解释中最正确的是：,洪涝灾害后，因为有大面积积水，人们经常赤足下地，可能被血吸虫幼虫感染,洪涝灾害后，由于地面多沼泽，为寄生虫寄主的大量繁殖提供了很好的条件,洪水可以把原来分布于某处的寄生虫或其寄主扩散到更大面积,洪水过后，人们的抵抗力降低，变成易感人群,,,B,C. 洪水可以把原来分布于某处的寄生虫或其寄主扩散到更大面积
104,人蛔虫是人体的一种主要寄生虫，其寄生在人体内，给人体造成很大的危害，下列症状哪项不可能是由蛔虫引起的：,营养不良,肠道阻塞,肺穿孔,橡皮肿,,,D,D.橡皮肿
105,在支撑脊椎动物身体的中轴骨骼中，哪种动物还能找到残存脊索的结构：,鲟,青蛙,蛇,鸡,,,A,A. 鲟
106,大脑的新脑皮是脊椎动物神经系统发展到高级阶段出现的，它是从下列哪类动物开始出现的：,两栖纲,爬行纲,鸟纲,哺乳纲,,,B,D. 哺乳纲
107,牙齿在脊椎动物中是普遍存在的，哺乳动物发展到了高级阶段，它们的牙齿属于：,同型齿,异型齿,多出齿,侧生齿,,,B,B. 异型齿
108,动物的消化分机械消化和化学消化，下列哪类动物同时在口腔中进行这两种消化：,鱼纲,两栖纲,爬行纲,哺乳纲,,,D,D. 哺乳纲
109,不少食草兽类与其食性和取食行为相适应，消化系统出现了复胃，牛羊具有4室，哪部分属真正的胃：,瘤胃,网胃,瓣胃,皱胃,,,D,答案是：D. 皱胃
110,动物头部的骨骼是靠枕骨髁与颈椎相联接的，人类具有2个枕髁，哪类动物与人类一样具2个枕髁：,鱼类,两栖类,爬行类,鸟类,,,B,B. 两栖类
111,下列哪一组动物不是假体腔动物？,腹毛动物门和内肛动物门,腔肠动物门和扁形动物门,棘头动物门和内肛动物门,动吻动物门和轮形动物门,,,B,B. 腔肠动物门和扁形动物门
112,脊椎动物的口腔和食道的上皮组织是：,单层柱状上皮,单层立方上皮,单层扁平上皮,复层扁平上皮,,,D,D. 复层扁平上皮
113,下列哪一类无脊椎动物具有最复杂的体表结构？,节肢动物,海绵动物,原生动物,刺胞动物,,,A,A. 节肢动物
114,生物学家认为病毒是生物，其主要理由是：,病毒由蛋白质和核酸构成,病毒能够侵染其他生物,病毒能够在寄主体内完成遗传物质的自我复制,病毒能控制蛋白质的合成,,,C,C
115,二、多重判断(每小题2分，答案完全正确才能得分，共40分) 1．细菌DNA复制的特点是：,只在细胞周期的特定阶段(S期)进行,不受细胞分裂周期的限制，可以连续进行,DNA复制完毕，然后进行RNA转录和蛋白质翻译,细菌DNA复制、RNA转录和蛋白质合成同时进行,,,BD,B. 不受细胞分裂周期的限制，可以连续进行
116,2．Watson-Crick DNA模型的特点是：,两股螺旋结构,两条链走向相同,碱基间形成共价键,磷酸戊糖骨架位于DNA螺旋外部,,,AD,A. 两股螺旋结构
117,3．“多莉羊”,是体细克隆成功的产物,是转基因动物成功的产物,是性细胞克隆成功的产物,是动物组织培养成功的产物,,,A,A. 是体细克隆成功的产物
118,4．下列关于DNA复制，说法正确的是：,按3’ →5’方向进行,需要DNA聚合酶I,需要DNA连接酶的作用,需要4种dNMP的参与,,,BC,C. 需要DNA连接酶的作用
119,5．细胞中核糖体存在的部位为：,细胞质基质,粗面内质网,细胞核外膜,溶酶体膜,,,ABC,B. 粗面内质网
120,6．哺乳动物体内明显具有增殖能力的细胞为：,神经细胞,部分骨髓细胞,心肌细胞,表皮的基底层细胞,,,BD,B. 部分骨髓细胞
121,7．判断下列关于细胞膜的结构的说法是否正确？,由双层膜组成,由两层磷脂分子和蛋白质分子组成,磷脂分子和蛋白质分子都有流动性,厚约12 nm,,,BC,B. 由两层磷脂分子和蛋白质分子组成
122,8．关于细胞膜的物质交换，下列哪种说法正确？,自由扩散是不需能的,大分子进出细胞主要通过被动运输,主动运输须有载体蛋白协助,任何离子和小分子都能进出细胞,,,AC,C. 主动运输须有载体蛋白协助
123,9．下列哪些符合油菜花的特征？,二强雄蕊，花药横裂,四强雄蕊，花药纵裂,单雌蕊，边缘胎座,合生雌蕊，侧膜胎座,,,BD,B. 四强雄蕊，花药纵裂
124,10．水稻对于土壤通气不良具有较强的忍耐力，这个特性与以下哪些特点有关？,水稻无氧呼吸不会产生酒精，不易烂根,水稻幼苗在缺氧情况下，细胞色素氧化酶仍保持一定的活性,水稻根部具有较强的乙醇酸氧化能力，该途径放出的氧可供根系呼吸用,水稻根部具有较发达的细胞间隙和气道，并与茎叶的气道相通,,,BCD,D. 水稻根部具有较发达的细胞间隙和气道，并与茎叶的气道相通
125,11．“植物体的组织可以分成表皮、基本组织和维管组织”这一概念适用于：,蕨类植物与苔藓植物,被子植物与裸子植物,蕨类植物与种子植物,各类高等植物,,,AC,D. 各类高等植物
126,12．洋葱根尖的细胞有16条染色体，下列洋葱细胞染色体的数目是否正确？,成熟花粉粒中的营养细胞有16条染色体,珠被细胞有8条染色体,胚乳细胞有8条染色体,胚囊母细胞有16条染色体,,,D,D. 胚囊母细胞有16条染色体
127,13．人体下列生理活动中，需要消耗能量的是：,小肠绒毛上皮细胞吸收K+、Na+,葡萄糖由肾小球过滤到肾小囊腔内,肾小管对葡萄糖的重吸收,小肠绒毛上皮细胞吸收氨基酸、葡萄糖,,,ACD,D. 小肠绒毛上皮细胞吸收氨基酸、葡萄糖
128,14．某同学设计如下实验：把小白鼠和青蛙从25℃的温室中移至5℃的环境中,两种动物的耗氧量都将减少,两种动物的耗氧量都将增加,青蛙的耗氧量减少，小白鼠的耗氧量增加,青蛙的耗氧量增加，小白鼠的耗氧量减少,,,C,C. 青蛙的耗氧量减少，小白鼠的耗氧量增加
129,15．如果两个遗传性状发生重组，说明控制这两个性状的基因有如下的可能关系：,独立遗传,不完全连锁,完全连锁,细胞质遗传,,,AB,B. 不完全连锁
