1,构成生物体的细胞大小差异很大，大部分细胞直径 10-100 微米，一般肉眼看不到，必须借助显微镜才能进行观察。但有些细胞则特别大，肉眼可见，下面哪些细胞需要用显微镜才能观察到（单选 1 分）,鸟类卵细胞,棉花纤维,苎麻茎的韧皮纤维细胞,人的精细胞,,D,D. 人的精细胞
2,褪黑素是人体分泌的一种重要激素，与昼夜节律密切相关。对其化学特性的分析发现：褪黑素是色氨酸的一种衍生物，其内分泌细胞的所在部位是（单选 1 分）,下丘脑,垂体,松果体,胰岛,,C,C. 松果体
3,下列关于体外细胞培养的叙述，正确的是（单选 1 分）,除神经细胞外，其它所有细胞可以长期无限制传代培养,淋巴细胞可以长期传代培养，并可用来生产单克隆抗体,诱导多能干细胞（IPS）可以体外长时间培养,只有在培养过程中发生恶化的细胞才可以无限培养,,C,C. 诱导多能干细胞（IPS）可以体外长时间培养
4,不能通过非共价作用与 G 蛋白偶联受体直接结合的分子是（单选 1 分）,肾上腺素等信号分子,细胞膜上的磷脂分子,cAMP,G 蛋白,,C,B. 细胞膜上的磷脂分子
5,离子通道是离子跨细胞膜运输的重要通道。离子通过开放的离子通道的方式是（单选 1 分）,自由扩散,由跨膜的电化学势梯度所驱动,通过消耗 ATP 的能量来驱动,由跨膜的糖蛋白浓度梯度所驱动,,B,B. 由跨膜的电化学势梯度所驱动
6,布雷非德菌 A（Brefeldin A）是一种目前研究得较为透彻的药物，可以阻碍细胞的分泌途径以及囊泡循环转运的过程。用这种药物处理细胞时，细胞内有哪类结构不会在短期内发生变化（单选 1 分）,溶酶体,液泡,细胞核,质膜,,C,C. 细胞核
7,真核细胞及其细胞器在用超声波处理破裂以后，经离心得到可溶性的和不溶性的部分。蛋白质 X 被发现在不溶性部分，将这不溶性部分再用 0. 5 mol/L NaCl 处理以后再进行离心，发现蛋白质 X 出现在可溶性部分之中。你认为蛋白质 X 最有可能是一种（单选 1 分）,细胞质膜的内在膜蛋白,细胞器膜的内在膜蛋白,外在膜蛋白,可溶性的细胞质基质蛋白,可溶性的核蛋白,C,答案是：D. 可溶性的细胞质基质蛋白
8,植物细胞壁是植物细胞特有的一种结构，也是人类社会生活中非常重要的可再生资源，目前对细胞壁组分以及细胞壁合成机制的研究表明（多选 2 分）,细胞壁的主要成分有纤维素、半纤维素、果胶以及木质素等,纤维素是在质膜上由纤维素合成酶合成,半纤维素和果胶在高尔基体上合成,在制备植物原生质体时需要用到纤维素酶裂解细胞壁，因为纤维素在细胞壁中的含量最高,,ABC,A. 细胞壁的主要成分有纤维素、半纤维素、果胶以及木质素等C. 半纤维素和果胶在高尔基体上合成D. 在制备植物原生质体时需要用到纤维素酶裂解细胞壁，因为纤维素在细胞壁中的含量最高
9,细胞自噬是真核细胞对细胞内成分进行降解和周转的重要过程。日本科学家大隅良典因发现细胞自噬的机制获得 2016 诺贝尔生理学或医学奖。在细胞自噬过程中，细胞组分的降解发生在（单选 1 分）,溶酶体,内质网,高尔基体,自噬体,,A,A. 溶酶体
10,下列关于酶活性部位特点的描述，错误的是（单选 1 分）,活性部位在整个酶分子中只占很小的一部分,活性部位具有三维立体结构,活性部位具有与底物完全互补的结构,活性部位对酶的整体构象具有依赖性,,C,C
11,DNA 和蛋白质变性后，他们之间的一个区别是变性蛋白质（单选 1 分）,一级结构被破坏,氢键被破坏,理化性质不变,复性较难,,D,D. 复性较难
12,人类肝脏组织中储存的糖原是（单选 1 分）,主要的能源物质,主要的结构物质,为了维持血糖的稳定,跟淀粉具有相同的结构，被称为“动物淀粉”,,C,D. 跟淀粉具有相同的结构，被称为“动物淀粉”
13,在用于蛋白质合成的氨基酸的“活化”中（单选 1 分）,需要两种不同的酶，一种形成氨酰基腺苷酸，另一种将氨基酸连接到 tRNA 上,甲硫氨酸首先被甲酰化，然后附着于特定的 tRNA,氨基酸通过磷酸二酯键连接到 tRNA 的 5’末端,每种氨基酸至少有一种特异性激活酶和一种特异性 tRNA,亮氨酸可以通过对亮氨酸特异的氨酰基-tRNA 合成酶与 tRNAPhe连接,D,D. 每种氨基酸至少有一种特异性激活酶和一种特异性 tRNA
14,染色质重塑是一种重要的生物学现象，指染色质的立体空间结构发生变化从而导致一些转录调控蛋白可以和 DNA 序列结合。下列描述，不属于染色质重塑机制的是（单选 1 分）,组蛋白上的氨基酸发生磷酸化,组蛋白上的氨基酸发生甲基化,DNA 的 C 和 G 碱基上添加甲基基团,DNA 序列中部分碱基发生突变,,D,D. DNA 序列中部分碱基发生突变
15,类固醇激素对基因表达的调节是通过（单选 1 分）,自身直接作用在基因调控序列上,激活酪氨酸蛋白激酶,以 cAMP 作为第二信使,与受体结合进入细胞核作用在调节元件上,,D,D. 与受体结合进入细胞核作用在调节元件上
16,下列哪种分子或代谢过程为肌肉收缩提供了最大的 ATP 产生率（mmol/sec）（单选 1 分）,肌糖原转化为 CO2,肌糖原转化为乳酸,脂肪酸转化为 CO2,磷酸肌酸,,D,D. 磷酸肌酸
17,研究人员分离线粒体电子传递链的各组分，包括电子传递复合物Ⅰ、Ⅱ、Ⅲ和Ⅳ等。如果试管中放入琥珀酸、CoQ、细胞色素 c、复合物Ⅱ和复合物Ⅲ各组分，并提供氧气：或者在同样的体系中再加入抗霉素 A，最终电子受体将分别是（单选 1 分）,细胞色素 c，CoQ,细胞色素 c，氧气,复合物Ⅲ，CoQ,复合物Ⅲ，氧气,,A,D. 复合物Ⅲ，氧气
18,聚丙烯酰氨凝胶电泳分离蛋白质的依据是（多选 2 分）,蛋白质所带电荷数量,蛋白质的分子形状,蛋白质的分子大小,蛋白质的亲水性,,ABC,A. 蛋白质所带电荷数量C. 蛋白质的分子大小
20,假设在有氧条件下，给葡萄糖氧化的肝细胞中加入了一种非常有效的特异性线粒体 ATP 合酶抑制剂，完全抑制这种酶。下列关于该抑制剂效果的陈述，哪些是错误的：（多选 2 分）,细胞中的 ATP 产量将迅速降至零,该细胞的葡萄糖消耗率将急剧下降,氧气消耗率将增加,柠檬酸循环将加速补偿,细胞将转换为脂肪酸氧化作为葡萄糖氧化的替代物，因此抑制剂对 ATP 产生没有影响,ACDE,C 和 D
21,以下哪一项不是革兰氏阴性菌（单选 1 分）,大肠杆菌,肺炎杆菌,痢疾杆菌,乳酸菌,,D,D. 乳酸菌
22,以下关于质粒的描述，错误的是（单选 1 分）,多数以双链 DNA 的形式存在,只能随基因组一同复制,不同类型的质粒在细胞中可能存在不同的拷贝,多数以环状形式存在,,B,B
23,大肠杆菌和水霉的游动孢子都具有鞭毛，分析下列描述，哪一项可以说明两种鞭毛的区别（单选 1 分）,是否仅由蛋白质或糖蛋白组成,鞭毛基部是否定位于细胞质中,是否可以感受信号具有游动性,是否有两种形态并具双游现象,,D,B. 鞭毛基部是否定位于细胞质中
24,电泳迁移率变动分析（EMSA）是一种研究 DNA 结合蛋白和相关 DNA 结合序列相互作用的技术。右下图是一个电泳迁移率变动分析实验的结果，具体为，首先单独合成某基因 X 的上游部分序列，并使用放射性同位素标记，此即为标记过的 DNA 片段；然后分别从骨（A）、肺（B）、脑（C）和皮肤（D）这四个组织的细胞中提取细胞核内容物，分别与此标记过的 DNA 片段共同孵育（同时有不加入细胞核内容物的对照组）。之后，将孵育后的产物用非变性聚丙烯酰胺凝胶电泳进行组分分离，电泳过后进行放射自显影曝光，曝光结果如图：从电泳结果可得到哪些组织细胞的细胞核内容物中的蛋白具有特异识别并结合基因 X 上游序列？这些组织中具有特异识别并结合此 DNA 序列功能的蛋白是相同蛋白吗？（单选 1 分）,图 A 和图 B；相同,图 A 和图 D；不同,图 B 和图 C；相同,图 B 和图 C；不同,,B,A. 图 A 和图 B；相同
25,下列哪种实验可以回答“有结合此 DNA 序列功能的蛋白具体识别的是哪一区段”这一问题（单选 1 分）,免疫印迹实验（western blot）,DNA 足迹实验（DNA footprinting）,酵母双杂交实验（yeast two-hybrid）,Northern 杂交实验（northern blot）,,B,B. DNA 足迹实验（DNA footprinting）
26,假设基因 X 在骨和皮肤这 2 个组织中并不转录表达，那么从显影结果得到的具有结合活性的蛋白可能是什么类型的转录因子？有可能和什么蛋白结合？（单选 1 分）,转录激活蛋白；组蛋白乙酰基转移酶,转录激活蛋白；DNA 甲基转移酶,转录抑制蛋白；组蛋白去乙酰化酶,转录抑制蛋白；DNA 去甲基化酶,,C,C. 转录抑制蛋白；组蛋白去乙酰化酶
27,下列关于正常的温和噬菌体感染其宿主而使宿主细胞发生溶源化现象的阐述，正确的是（多选 2 分）,噬菌体基因整合至宿主的基因组上,该噬菌体并没有携带任何外源基因,该噬菌体的基因为宿主提供新性状,该噬菌体的基因在宿主中不能表达,宿主的新性状随噬菌体消失而消失,ACE,A. 噬菌体基因整合至宿主的基因组上
28,下列哪几项组学技术研究，是直接在核苷酸水平开展的（多选 2 分）,基因组,代谢组,表观组,蛋白组,转录组,ACE,A. 基因组
29,克隆猴“中中”和“华华”的产生属于（单选 1 分）,同种异体细胞转移技术,同种异体细胞核转移技术,试管内受精,同种异体细胞转基因技术,,B,B. 同种异体细胞核转移技术
30,鸟类飞翔需要消耗大量的氧，它有特殊的双重呼吸来给身体供氧。下列有关描述，正确的是（单选 1 分）,第一次吸气时，新鲜空气沿中支气管大部分直接进入后胸气囊及腹气囊，一部分经次级支气管和三级支气管在微气管处进行气体交换,第一次吸气时，颈气囊、锁骨间气囊、前胸气囊及后胸气囊均扩张，接受来自肺部的含二氧化碳较多的气体,呼气时，前胸气囊、后胸气囊及腹气囊收缩，将其中的气体压入肺进行气体交换,呼气时，颈气囊、锁骨间气囊及前胸气囊收缩，将其中的气体压出，经三级支气管、次级支气管、气管排出体外,,A,C
31,哺乳动物的淋巴系统极为发达，下列有关叙述，错误的是（单选 1 分）,组织液通过渗透方式进入先端为盲端的微淋巴管,淋巴管内有瓣膜防止淋巴液逆流,微淋巴管逐渐汇集为较大的淋巴管，最后主要经胸导管注入后腔静脉回心,淋巴结遍布于淋巴系统的通路上，可过滤异物，并分泌淋巴细胞,,C,E
32,下图是两类鸟类的羽毛，请判断以下叙述，不正确的是（单选 1 分）,羽毛 a 和 b 均具有羽轴,羽毛 a 和 b 均具有羽枝,羽毛 a 形成羽片，羽毛 b 未形成羽片,羽毛 a 和 b 均具有羽小钩,,D,E. nan
33,根据腰带的构造特征不同，恐龙分为蜥臀目（Saurischia）和鸟臀目（Ornithischia）两大类，蜥臀目的腰带从侧面看是三射型，耻骨在髂骨下方向下延伸，坐骨向髂骨后下方延伸，这样的结构与现存蜥蜴相似；鸟臀目的腰带从侧面看是四射型，髂骨前后都扩张，耻骨向前侧有一个大的前耻骨突，平行伸在髂骨的下方，后侧向后延伸并与坐骨平行伸向髂骨后下方。依据描述，上面的 4 个图中（图中腰带与动物的前后方位一致），分别属于三射型腰带和鸟臀目恐龙的是（单选 1 分）,①和③,①和④,②和③,②和④,,B,答案是：B. ①和④
34,蚯蚓属于同律分节，在解剖蚯蚓的时候也会发现蚯蚓体内有许多连接体壁和肠壁的膜。下图为蚯蚓早期发育某一阶段的模式图，a、b、c、d 是个体发育中形成的囊的横切及纵切。以下说法，正确的是（多选 2 分）,图中 b 和 c 进一步发育后，与系膜形成相关,图中 b 和 c 进一步发育后，与隔膜形成相关,图中 a 和 d 进一步发育后，与系膜形成相关,图中 a 和 d 进一步发育后，与隔膜形成相关,,BC,B. 图中 b 和 c 进一步发育后，与隔膜形成相关D. 图中 a 和 d 进一步发育后，与系膜形成相关
36,溶液的渗透压摩尔浓度（单位：mOsm/L）在数值上等于溶液中溶质粒子的总摩尔浓度，请计算以下溶液的渗透压摩尔浓度，该溶液含有：NaCl（12mM），KCl（4mM）以及 CaCl2（2mM）（单选 1 分）,18,36,38,20,42,C,答案是：B. 36
37,属于下丘脑调节性多肽的激素或因子有（多选 2 分）,生长素释放抑制激素,催乳素释放抑制因子,促黑激素释放抑制因子,促性腺激素释放激素,促肾上腺皮质激素,ACD,A. 生长素释放抑制激素B. 催乳素释放抑制因子C. 促黑激素释放抑制因子D. 促性腺激素释放激素
38,钠钾泵每消耗 1 个分子的 ATP，能够转运 Na+和 K+的方向和数目为（单选 1 分）,3 个 Na+出细胞，2 个 K+入细胞,1 个 Na+出细胞，1 个 K+入细胞,2 个 Na+出细胞，3 个 K+入细胞,2 个 Na+出细胞，2 个 K+入细胞,3 个 Na+出细胞，3 个 K+入细胞,A,A. 3 个 Na+出细胞，2 个 K+入细胞
39,视网膜中哪一类细胞能产生动作电位（单选 1 分）,无长突细胞,双极细胞,神经节细胞,水平细胞,视锥细胞,C,C. 神经节细胞
40,葡萄糖分子进入小肠上皮细胞和骨骼肌细胞，分别通过何种跨膜转运方式？（单选 1 分）,主动运输和简单扩散,简单扩散和易化扩散,主动运输和主动运输,主动运输和易化扩散,简单扩散和主动运输,D,D. 主动运输和易化扩散
41,下列哪一个结构的长度在骨骼肌细胞收缩时会缩短？（单选 1 分）,肌小节的暗带（A 带）,肌小节的明带（I 带）,粗丝,细丝,,B,B. 肌小节的明带（I 带）
42,静脉注射下列哪种溶液会直接引起细胞外液体积增加，细胞内液体积降低并且机体总液体量增加？（单选 1 分）,1 L 0.9%氯化钠溶液,1 L 0.45%氯化钠溶液,1 L 3%氯化钠溶液,1 L 纯水,,C,B. 1 L 0.45%氯化钠溶液
